shape,train_size,pca_features,svctrain,svctest,knntrain,knntest,ldatrain,ldatest,qdatrain,qdatest,logistictrain,logistictest,gaussiantrain,gaussiantest,mlptrain,mlptest,rftrain,rftest
15,10,NA,0.95,0.752323232323,1.0,0.766767676768,0.99,0.736161616162,1.0,0.136262626263,1.0,0.795151515152,0.98,0.53797979798,0.98,0.720303030303,1.0,0.687878787879
15,100,NA,0.97,0.936,1.0,0.926444444444,0.977,0.866333333333,1.0,0.149111111111,0.996,0.903555555556,0.877,0.824666666667,0.998,0.923333333333,0.999,0.882888888889
15,500,NA,0.9752,0.965,1.0,0.9688,0.9346,0.9098,0.9996,0.8834,0.9744,0.9322,0.8566,0.8502,0.9992,0.959,0.9988,0.9476
15,800,NA,0.9785,0.97,1.0,0.9685,0.9285,0.9135,0.996,0.912,0.966125,0.9325,0.8585,0.844,0.999625,0.9655,0.99875,0.96
30,10,NA,0.97,0.808282828283,1.0,0.787575757576,0.98,0.848787878788,1.0,0.190505050505,1.0,0.826565656566,1.0,0.64303030303,1.0,0.790606060606,1.0,0.694848484848
30,100,NA,0.971,0.936111111111,1.0,0.927222222222,1.0,0.398555555556,1.0,0.161111111111,1.0,0.912444444444,0.885,0.811222222222,1.0,0.924444444444,0.998,0.884666666667
30,500,NA,0.9758,0.9646,1.0,0.9644,0.9746,0.892,1.0,0.1464,0.9998,0.9242,0.8682,0.851,0.9998,0.9536,0.9996,0.935
30,800,NA,0.979125,0.966,1.0,0.9725,0.957375,0.911,1.0,0.1665,0.99825,0.9285,0.863125,0.848,0.999875,0.96,0.99925,0.9405
